lr,embedding_dim,temperature,epoch,patience,type_recall@5,type_mrr@5,type_ndcg@5,material_recall@5,material_mrr@5,material_ndcg@5,brand_recall@5,brand_mrr@5,brand_ndcg@5,brand_material_recall@5,brand_material_mrr@5,brand_material_ndcg@5,full_recall@5,full_mrr@5,full_ndcg@5
0.0100,512,0.0700,20,3,0.0348,0.0161,0.0207,0.0473,0.0266,0.0317,0.0902,0.0414,0.0533,0.1062,0.0519,0.0653,0.7750,0.5686,0.6201
0.0100,512,0.1000,20,3,0.0420,0.0185,0.0242,0.0643,0.0304,0.0386,0.1000,0.0482,0.0610,0.1152,0.0614,0.0747,0.7821,0.5664,0.6203
0.0100,512,0.2000,20,3,0.0509,0.0224,0.0294,0.0652,0.0336,0.0413,0.1018,0.0507,0.0633,0.1161,0.0592,0.0732,0.7384,0.5178,0.5729
0.0010,512,0.0700,20,3,0.0402,0.0177,0.0232,0.0527,0.0282,0.0342,0.0991,0.0509,0.0627,0.1116,0.0591,0.0719,0.7955,0.5917,0.6426
0.0010,512,0.1000,20,3,0.0420,0.0190,0.0246,0.0563,0.0307,0.0370,0.1054,0.0534,0.0662,0.1196,0.0650,0.0785,0.7964,0.5912,0.6426
0.0010,512,0.2000,20,3,0.0491,0.0229,0.0293,0.0732,0.0360,0.0451,0.1009,0.0483,0.0613,0.1232,0.0624,0.0774,0.7446,0.5278,0.5819
0.0001,512,0.0700,20,3,0.0402,0.0200,0.0250,0.0768,0.0349,0.0451,0.1054,0.0508,0.0642,0.1384,0.0710,0.0875,0.7571,0.5281,0.5855
0.0001,512,0.1000,20,3,0.0429,0.0204,0.0259,0.0750,0.0385,0.0475,0.1062,0.0513,0.0648,0.1339,0.0674,0.0837,0.7420,0.5132,0.5701
0.0001,512,0.2000,20,3,0.0482,0.0222,0.0286,0.0759,0.0370,0.0466,0.0964,0.0483,0.0601,0.1223,0.0595,0.0749,0.6679,0.4426,0.4986
