baseline,prompt,recall@10,mrr@10,ndcg@10
Original CLIP,type,0.0991,0.0286,0.0447
Original CLIP,material,0.1375,0.0408,0.0630
Original CLIP,brand,0.1125,0.0325,0.0507
Original CLIP,brand_material,0.1589,0.0463,0.0720
Original CLIP,full,0.6750,0.3929,0.4607
CLIP+Linear Probe,type,0.0821,0.0250,0.0382
CLIP+Linear Probe,material,0.1080,0.0382,0.0543
CLIP+Linear Probe,brand,0.1812,0.0593,0.0874
CLIP+Linear Probe,brand_material,0.2062,0.0761,0.1062
CLIP+Linear Probe,full,0.8768,0.5944,0.6630
CLIP+LoRA,type,0.0821,0.0281,0.0405
CLIP+LoRA,material,0.1366,0.0486,0.0690
CLIP+LoRA,brand,0.1518,0.0567,0.0787
CLIP+LoRA,brand_material,0.1866,0.0708,0.0977
CLIP+LoRA,full,0.8955,0.6521,0.7114
