baseline,prompt,recall@20,mrr@20,ndcg@20
Original CLIP,type,0.2027,0.0357,0.0707
Original CLIP,material,0.2580,0.0509,0.0948
Original CLIP,brand,0.2161,0.0419,0.0785
Original CLIP,brand_material,0.2643,0.0522,0.0971
Original CLIP,full,0.7705,0.3843,0.4724
CLIP+Linear Probe,type,0.1241,0.0251,0.0461
CLIP+Linear Probe,material,0.1866,0.0417,0.0730
CLIP+Linear Probe,brand,0.2848,0.0702,0.1166
CLIP+Linear Probe,brand_material,0.3268,0.0865,0.1386
CLIP+Linear Probe,full,0.9330,0.6123,0.6881
CLIP+LoRA,type,0.1714,0.0328,0.0620
CLIP+LoRA,material,0.2313,0.0558,0.0932
CLIP+LoRA,brand,0.2545,0.0599,0.1015
CLIP+LoRA,brand_material,0.2812,0.0819,0.1251
CLIP+LoRA,full,0.9357,0.6575,0.7238
