baseline,prompt,recall@10,mrr@10,ndcg@10
Original CLIP,type,0.1027,0.0290,0.0458
Original CLIP,material,0.1429,0.0431,0.0659
Original CLIP,brand,0.1125,0.0348,0.0525
Original CLIP,brand_material,0.1375,0.0435,0.0651
Original CLIP,full,0.6705,0.3772,0.4470
CLIP+Linear Probe,type,0.0679,0.0213,0.0320
CLIP+Linear Probe,material,0.1152,0.0368,0.0551
CLIP+Linear Probe,brand,0.1839,0.0631,0.0910
CLIP+Linear Probe,brand_material,0.2143,0.0787,0.1102
CLIP+Linear Probe,full,0.8875,0.6091,0.6766
CLIP+LoRA,type,0.0902,0.0273,0.0417
CLIP+LoRA,material,0.1348,0.0494,0.0693
CLIP+LoRA,brand,0.1536,0.0530,0.0762
CLIP+LoRA,brand_material,0.1893,0.0756,0.1020
CLIP+LoRA,full,0.9009,0.6549,0.7149
